,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,Female,,,,,,,
,,0-2,3-5,6-11,12-14,15-17,18-24,25-64,65+,,0-2,3-5,6-11,12-14,15-17,18-24,25-64,65+
,Camp 10,4.77%,7.63%,11.07%,3.05%,2.29%,5.73%,14.31%,1.91%,,3.63%,4.77%,7.82%,3.63%,4.01%,8.02%,16.03%,1.34%
,Camp 11,5.90%,7.24%,8.00%,4.76%,1.71%,4.57%,14.86%,1.52%,,4.95%,6.29%,11.24%,3.05%,2.86%,7.62%,14.29%,1.14%
,Camp 12,4.44%,4.07%,9.43%,5.18%,2.96%,4.62%,15.71%,1.66%,,3.51%,7.02%,9.24%,3.33%,6.10%,7.95%,13.68%,1.11%
,Camp 13,5.29%,6.05%,8.70%,3.59%,3.40%,3.78%,15.88%,1.13%,,6.05%,6.43%,12.48%,3.21%,1.89%,7.18%,14.37%,0.57%
,Camp 14,6.01%,8.33%,9.30%,2.91%,2.13%,3.49%,15.89%,1.36%,,6.01%,6.78%,9.69%,3.88%,2.13%,4.84%,17.05%,0.19%
,Camp 15,3.90%,6.98%,9.86%,2.67%,2.46%,5.34%,14.58%,2.05%,,5.34%,5.13%,9.65%,3.49%,3.08%,9.03%,16.22%,0.21%
,Camp 16,4.03%,4.87%,7.20%,3.39%,2.54%,5.30%,15.89%,1.27%,,6.78%,5.30%,9.96%,5.30%,3.81%,10.59%,13.56%,0.21%
,Camp 17,3.84%,6.09%,8.80%,3.39%,1.35%,6.77%,15.12%,2.48%,,5.19%,6.55%,9.26%,3.39%,2.26%,10.84%,14.22%,0.45%
,Camp 18,5.12%,6.01%,9.13%,3.79%,2.45%,6.90%,15.81%,0.45%,,4.90%,6.90%,8.46%,3.34%,2.90%,8.91%,14.03%,0.89%
,Camp 19,3.94%,6.90%,9.85%,3.78%,1.64%,5.91%,14.45%,1.48%,,3.94%,8.05%,8.21%,3.78%,3.45%,7.88%,16.09%,0.66%
,Camp 1E,4.09%,6.95%,9.20%,3.07%,3.48%,8.38%,13.09%,3.07%,,3.48%,3.48%,7.77%,4.91%,3.89%,7.77%,15.95%,1.43%
,Camp 1W,3.67%,6.05%,8.86%,3.02%,4.32%,3.89%,16.63%,0.65%,,4.54%,5.83%,11.23%,4.10%,2.38%,8.21%,15.98%,0.65%
,Camp 20,5.26%,6.70%,9.57%,3.83%,2.39%,4.31%,15.31%,1.67%,,4.07%,5.02%,11.48%,3.11%,2.15%,10.05%,14.83%,0.24%
,Camp 21,3.41%,7.62%,9.02%,4.01%,2.20%,4.81%,13.63%,1.20%,,5.41%,6.41%,10.22%,5.21%,4.21%,6.61%,15.03%,1.00%
,Camp 22,3.99%,6.22%,10.21%,3.03%,4.78%,5.26%,15.79%,0.64%,,6.70%,5.90%,6.22%,3.35%,3.99%,9.41%,13.72%,0.80%
,Camp 23,3.51%,7.02%,11.78%,3.31%,2.69%,5.37%,15.08%,0.41%,,4.34%,4.96%,11.98%,3.51%,2.27%,8.47%,14.46%,0.83%
,Camp 24,2.83%,4.05%,11.13%,4.86%,3.44%,3.85%,15.38%,0.81%,,3.44%,4.66%,11.34%,3.24%,4.05%,8.50%,17.81%,0.61%
,Camp 25,3.91%,4.89%,10.20%,4.05%,2.93%,5.17%,15.08%,0.84%,,2.93%,7.26%,11.31%,3.91%,2.37%,10.06%,14.53%,0.56%
,Camp 26,4.14%,6.20%,9.16%,4.43%,2.07%,6.79%,15.95%,1.03%,,3.25%,5.91%,10.78%,3.84%,2.95%,6.79%,16.40%,0.30%
,Camp 27,3.85%,4.05%,8.91%,3.04%,2.83%,7.49%,14.78%,1.42%,,3.85%,8.91%,9.31%,2.02%,3.44%,8.30%,17.41%,0.40%
,Camp 2E,5.23%,7.10%,11.78%,3.93%,2.43%,2.99%,14.95%,0.75%,,3.74%,5.42%,11.21%,5.42%,2.62%,5.98%,15.89%,0.56%
,Camp 2W,4.57%,6.68%,12.48%,4.75%,2.28%,6.68%,14.06%,0.88%,,4.57%,4.75%,9.49%,2.99%,3.87%,7.03%,14.24%,0.70%
,Camp 3,5.15%,5.15%,8.25%,4.12%,3.51%,4.95%,14.85%,2.47%,,4.74%,4.74%,9.48%,4.74%,3.71%,7.01%,16.70%,0.41%
,Camp 4,4.04%,7.23%,12.13%,3.62%,3.62%,4.26%,17.45%,1.06%,,3.83%,4.68%,9.57%,3.40%,2.34%,6.17%,16.38%,0.21%
,Camp 5,5.35%,5.57%,6.64%,3.85%,3.21%,6.21%,15.42%,1.50%,,6.00%,6.00%,8.57%,3.64%,3.00%,10.06%,14.78%,0.21%
,Camp 6,5.83%,5.83%,9.17%,2.92%,2.92%,6.25%,17.50%,1.46%,,4.58%,5.42%,6.25%,3.33%,4.17%,7.50%,16.46%,0.42%
,Camp 7,6.21%,5.81%,10.62%,4.21%,4.01%,6.41%,13.83%,2.00%,,4.21%,5.41%,7.62%,2.00%,4.61%,6.81%,15.23%,1.00%
,Camp 8E,3.42%,5.25%,8.90%,3.42%,3.88%,7.76%,14.61%,2.28%,,5.25%,4.34%,7.99%,5.02%,4.34%,7.31%,15.30%,0.91%
,Camp 8W,5.56%,8.55%,10.26%,2.78%,3.63%,4.91%,16.45%,0.85%,,3.85%,5.56%,6.84%,2.56%,3.63%,9.62%,14.53%,0.43%
,Camp 9,4.88%,5.49%,10.98%,2.85%,3.46%,6.71%,15.24%,1.83%,,2.85%,6.71%,8.74%,3.66%,3.46%,6.91%,15.85%,0.41%
,Nayapara RC,4.06%,4.98%,7.56%,4.61%,3.87%,5.90%,15.13%,0.92%,,4.98%,2.95%,9.23%,4.61%,4.80%,10.15%,15.68%,0.55%
