camp,evac,stay,secure
Camp 10,0.6000,0.3100,0.8400
Camp 11,0.6465,0.4343,0.8687
Camp 12,0.5455,0.3939,0.8283
Camp 13,0.3030,0.5758,0.7475
Camp 14,0.2604,0.4375,0.6979
Camp 15,0.4271,0.6146,0.8750
Camp 16,0.2755,0.5408,0.6939
Camp 17,0.3711,0.5052,0.5979
Camp 18,0.4078,0.5631,0.6990
Camp 19,0.4454,0.4706,0.8403
Camp 1E,0.4184,0.5510,0.8980
Camp 1W,0.3505,0.5258,0.7423
Camp 20,0.3448,0.7126,0.8161
Camp 21,0.5361,0.4227,0.7320
Camp 22,0.3934,0.5164,0.7951
Camp 23,0.3474,0.5579,0.7789
Camp 24,0.5619,0.5524,0.8095
Camp 25,0.3667,0.6667,0.7067
Camp 26,0.4706,0.4412,0.7279
Camp 27,0.4528,0.5849,0.8962
Camp 2E,0.3980,0.4184,0.6531
Camp 2W,0.1923,0.4615,0.6923
Camp 3,0.3434,0.5758,0.7677
Camp 4,0.3505,0.4845,0.7526
Camp 5,0.3265,0.5204,0.6429
Camp 6,0.3619,0.5810,0.8095
Camp 7,0.2474,0.4742,0.6186
Camp 8E,0.1724,0.6092,0.6667
Camp 8W,0.2813,0.5625,0.8542
Camp 9,0.3196,0.5361,0.8247
Nayapara RC,0.3191,0.4255,0.7128